iter	Passed	Remaining
915	6080	557
916	6087	550
917	6093	544
918	6100	537
919	6106	530
920	6112	524
921	6118	517
922	6125	510
923	6130	504
924	6137	497
925	6143	490
926	6149	484
927	6156	477
928	6162	471
929	6170	464
930	6176	457
931	6183	451
932	6190	444
933	6196	437
934	6203	431
935	6209	424
936	6216	417
937	6222	411
938	6229	404
939	6235	398
940	6241	391
941	6248	384
942	6254	378
943	6260	371
944	6267	364
945	6273	358
946	6280	351
947	6286	344
948	6292	338
949	6299	331
950	6305	324
951	6312	318
952	6319	311
953	6325	305
954	6332	298
955	6338	291
956	6344	285
957	6350	278
958	6357	271
959	6363	265
960	6370	258
961	6376	251
962	6383	245
963	6390	238
964	6396	231
965	6402	225
966	6408	218
967	6415	212
968	6422	205
969	6428	198
970	6435	192
971	6441	185
972	6448	178
973	6455	172
974	6460	165
975	6467	159
976	6473	152
977	6479	145
978	6486	139
979	6492	132
980	6499	125
981	6504	119
982	6511	112
983	6517	105
984	6523	99
985	6530	92
986	6536	86
987	6543	79
988	6549	72
989	6555	66
990	6562	59
991	6567	52
992	6575	46
993	6582	39
994	6589	33
995	6595	26
996	6601	19
997	6608	13
998	6614	6
999	6620	0
